Jurisdiction,HHS Region,Doses allocated week of 12/14,Second Dose Shipment (21 days later) week of 12/14,Doses allocated week of 12/21,Second Dose Shipment (21 days later) week of 12/21,Doses allocated week of 12/28,Second Dose Shipment (21 days later) week of 12/28,Doses allocated for distribution week of 01/04,Second dose shipment for distribution (21 days later) week of 01/04,Doses allocated for distribution week of 01/10,Second dose shipment for distribution (21 days later) week of 01/10,Doses allocated for distribution week of 01/18,Second dose shipment for distribution (21 days later) week of 01/18,Doses allocated for distribution week of 01/25,Second dose shipment for distribution (21 days later) week of 01/25,"Total Pfizer Allocation ""First Dose"" Shipments","Total Allocation Pfizer ""Second Dose"" Shipments"
Connecticut,Region 1,"31,200","31,200","22,425","22,425","28,275","28,275","22,425","22,425","22,425","22,425","23,400","23,400","23,400","23,400","173,550","173,550"
Maine,Region 1,"12,675","12,675","8,775","8,775","10,725","10,725","8,775","8,775","8,775","8,775","8,775","8,775","8,775","8,775","67,275","67,275"
Massachusetts,Region 1,"59,475","59,475","42,900","42,900","54,600","54,600","42,900","42,900","42,900","42,900","43,875","43,875","43,875","43,875","330,525","330,525"
New Hampshire,Region 1,"12,675","12,675","8,775","8,775","10,725","10,725","8,775","8,775","8,775","8,775","8,775","8,775","8,775","8,775","67,275","67,275"
Rhode Island,Region 1,"9,750","9,750","6,825","6,825","8,775","8,775","6,825","6,825","6,825","6,825","6,825","6,825","6,825","6,825","52,650","52,650"
Vermont,Region 1,"5,850","5,850","4,875","4,875","5,850","5,850","3,900","3,900","4,875","4,875","4,875","4,875","4,875","4,875","35,100","35,100"
New Jersey,Region 2,"76,050","76,050","53,625","53,625","68,250","68,250","53,625","53,625","53,625","53,625","55,575","55,575","55,575","55,575","416,325","416,325"
New York,Region 2,"96,525","96,525","68,250","68,250","87,750","87,750","68,250","68,250","68,250","68,250","71,175","71,175","71,175","71,175","531,375","531,375"
New York City,Region 2,"73,125","73,125","51,675","51,675","66,300","66,300","51,675","51,675","51,675","51,675","53,625","53,625","53,625","53,625","401,700","401,700"
Puerto Rico,Region 2,"30,225","30,225","21,450","21,450","27,300","27,300","21,450","21,450","21,450","21,450","22,425","22,425","22,425","22,425","166,725","166,725"
